Cats or Dogs?,Cats,Dogs
Morning or Night?,Morning,Night
Beach or Mountains?,Beach,Mountains
Summer or Winter?,Summer,Winter
Coffee or Tea?,Coffee,Tea
Batman or Superman?,Batman,Superman
Netflix or YouTube?,Netflix,YouTube
Cake or Pie?,Cake,Pie
Tacos or Burritos?,Tacos,Burritos
Pancakes or Waffles?,Pancakes,Waffles
Chocolate or Vanilla?,Chocolate,Vanilla
Window Seat or Aisle Seat?,Window Seat,Aisle Seat
Book or Movie?,Book,Movie
Star Wars or Star Trek?,Star Wars,Star Trek
Ketchup or Mustard?,Ketchup,Mustard
Early Bird or Night Owl?,Early Bird,Night Owl
City or Countryside?,City,Countryside
Spotify or Apple Music?,Spotify,Apple Music
Pizza or Pasta?,Pizza,Pasta
Sneakers or Boots?,Sneakers,Boots
Harry Potter or Lord of the Rings?,Harry Potter,Lord of the Rings
Sweet or Savory?,Sweet,Savory
Rain or Snow?,Rain,Snow
Texting or Calling?,Texting,Calling
Ninjas or Pirates?,Ninjas,Pirates
Facebook or Twitter?,Facebook,Twitter
Pen or Pencil?,Pen,Pencil
Rock or Hip Hop?,Rock,Hip Hop
Butter or Margarine?,Butter,Margarine
Chess or Checkers?,Chess,Checkers
Sunrise or Sunset?,Sunrise,Sunset
Socks or Barefoot?,Socks,Barefoot
Swim or Hike?,Swim,Hike
Salty or Sweet?,Salty,Sweet
Halloween or Christmas?,Halloween,Christmas
Comedy or Drama?,Comedy,Drama
Fiction or Nonfiction?,Fiction,Nonfiction
Lakes or Oceans?,Lakes,Oceans
Gold or Silver?,Gold,Silver
Road Trip or Flight?,Road Trip,Flight
Burgers or Wings?,Burgers,Wings
Spring or Autumn?,Spring,Autumn
Smooth or Crunchy Peanut Butter?,Smooth,Crunchy
Board Games or Video Games?,Board Games,Video Games
Camping or Hotel?,Camping,Hotel
Football or Basketball?,Football,Basketball
Water or Juice?,Water,Juice
Spotify or Vinyl?,Spotify,Vinyl
Tattoos or No Tattoos?,Tattoos,No Tattoos
Roller Coasters or Water Slides?,Roller Coasters,Water Slides
Nike or Adidas?,Nike,Adidas
Milk Chocolate or Dark Chocolate?,Milk Chocolate,Dark Chocolate
Superman or Spider-Man?,Superman,Spider-Man
TikTok or Instagram?,TikTok,Instagram
Cereal or Toast?,Cereal,Toast
Comedy or Horror?,Comedy,Horror
Indoor or Outdoor?,Indoor,Outdoor
Singing or Dancing?,Singing,Dancing
Aliens or Ghosts?,Aliens,Ghosts
Invisibility or Flight?,Invisibility,Flight
Time Travel or Teleportation?,Time Travel,Teleportation
Donuts or Bagels?,Donuts,Bagels
Mario or Zelda?,Mario,Zelda
Pepperoni or Cheese Pizza?,Pepperoni,Cheese
Fries or Onion Rings?,Fries,Onion Rings
Introvert or Extrovert?,Introvert,Extrovert
Monopoly or Scrabble?,Monopoly,Scrabble
Backpack or Suitcase?,Backpack,Suitcase
Netflix or Hulu?,Netflix,Hulu
Drums or Guitar?,Drums,Guitar
Soccer or Tennis?,Soccer,Tennis
Cookies or Brownies?,Cookies,Brownies
Ice Cream Cone or Cup?,Cone,Cup
Yoga or Weightlifting?,Yoga,Weightlifting
Dine In or Takeout?,Dine In,Takeout
Shark or Bear?,Shark,Bear
East Coast or West Coast?,East Coast,West Coast
Ocean or Space?,Ocean,Space
Pasta or Rice?,Pasta,Rice
Snapchat or WhatsApp?,Snapchat,WhatsApp
Bacon or Sausage?,Bacon,Sausage
Blues or Jazz?,Blues,Jazz
Superman or Batman?,Superman,Batman
Hamburger or Chicken Sandwich?,Hamburger,Chicken Sandwich
Country or Pop?,Country,Pop
Minecraft or Fortnite?,Minecraft,Fortnite
Roller Skates or Skateboard?,Roller Skates,Skateboard
Curly Fries or Straight Fries?,Curly Fries,Straight Fries
Ranch or Blue Cheese?,Ranch,Blue Cheese
Carpet or Hardwood?,Carpet,Hardwood
Jeans or Sweatpants?,Jeans,Sweatpants
Glasses or Contacts?,Glasses,Contacts
Disney or Pixar?,Disney,Pixar
Breakfast or Dinner?,Breakfast,Dinner
Netflix or Disney Plus?,Netflix,Disney Plus
Front Row or Back Row?,Front Row,Back Row
Subway or Uber?,Subway,Uber
Airport or Train Station?,Airport,Train Station
Truth or Dare?,Truth,Dare
Scissors or Rock?,Scissors,Rock
Werewolf or Vampire?,Werewolf,Vampire
Sandals or Flip Flops?,Sandals,Flip Flops
T-shirt or Button Down?,T-shirt,Button Down
Couch or Recliner?,Couch,Recliner
Reading or Podcasts?,Reading,Podcasts
Football or Baseball?,Football,Baseball
Blonde or Brunette?,Blonde,Brunette
Fast or Slow?,Fast,Slow
Smart or Strong?,Smart,Strong
Fame or Fortune?,Fame,Fortune
Loud or Quiet?,Loud,Quiet
Future or Past?,Future,Past
Cat Person or Dog Person?,Cat Person,Dog Person
Cupcake or Muffin?,Cupcake,Muffin
Watermelon or Pineapple?,Watermelon,Pineapple
Ice Cream or Frozen Yogurt?,Ice Cream,Frozen Yogurt
Candle or Lamp?,Candle,Lamp
Skydiving or Bungee Jumping?,Skydiving,Bungee Jumping
Tent or RV?,Tent,RV
Museum or Amusement Park?,Museum,Amusement Park
Sushi or Steak?,Sushi,Steak
Harry Potter or Star Wars?,Harry Potter,Star Wars
Big Party or Small Gathering?,Big Party,Small Gathering
Comedy or Action?,Comedy,Action
Red or Blue?,Red,Blue
Bike or Scooter?,Bike,Scooter
Library or Bookstore?,Library,Bookstore
Apple Juice or Orange Juice?,Apple Juice,Orange Juice
Heater or Fan?,Heater,Fan
Popcorn or Nachos?,Popcorn,Nachos
Football or Soccer?,Football,Soccer
Bowling or Mini Golf?,Bowling,Mini Golf
Frisbee or Football?,Frisbee,Football
Cash or Card?,Cash,Card
Crunchy Taco or Soft Taco?,Crunchy Taco,Soft Taco
Dumplings or Spring Rolls?,Dumplings,Spring Rolls
Salsa or Guacamole?,Salsa,Guacamole
Syrup or Honey?,Syrup,Honey
Mashed Potatoes or Baked Potato?,Mashed Potatoes,Baked Potato
Lobster or Crab?,Lobster,Crab
Sunrise Hike or Late Night Walk?,Sunrise Hike,Late Night Walk
Snow Day or Beach Day?,Snow Day,Beach Day
Fireplace or Bonfire?,Fireplace,Bonfire
Thunderstorm or Clear Skies?,Thunderstorm,Clear Skies
Mountains or Desert?,Mountains,Desert
River or Waterfall?,River,Waterfall
Hot Sauce or BBQ Sauce?,Hot Sauce,BBQ Sauce
Electric Car or Gas Car?,Electric Car,Gas Car
VR or AR?,VR,AR
Robot or AI?,Robot,AI
Piano or Violin?,Piano,Violin
Acoustic or Electric Guitar?,Acoustic,Electric
Live Music or Studio Album?,Live Music,Studio Album
Concert or Festival?,Concert,Festival
Aisle or Middle Seat?,Aisle,Middle
Escalator or Elevator?,Escalator,Elevator
Paper Map or GPS?,Paper Map,GPS
Old School or New School?,Old School,New School
Black and White or Color?,Black and White,Color
Sequel or Prequel?,Sequel,Prequel
Musical or Play?,Musical,Play
Cartoon or Anime?,Cartoon,Anime
Fiction or Documentary?,Fiction,Documentary
Thriller or Romance?,Thriller,Romance
Zoo or Aquarium?,Zoo,Aquarium
Dolphin or Whale?,Dolphin,Whale
Eagle or Hawk?,Eagle,Hawk
Tiger or Lion?,Tiger,Lion
Penguin or Panda?,Penguin,Panda
Butterfly or Hummingbird?,Butterfly,Hummingbird
Forest or Jungle?,Forest,Jungle
Island or Mainland?,Island,Mainland
Tent or Hammock?,Tent,Hammock
Sunrise or Moonrise?,Sunrise,Moonrise
Salt or Pepper?,Salt,Pepper
Lemonade or Iced Tea?,Lemonade,Iced Tea
Smoothie or Milkshake?,Smoothie,Milkshake
Wired or Wireless?,Wired,Wireless
Laptop or Desktop?,Laptop,Desktop
Light Mode or Dark Mode?,Light Mode,Dark Mode
Tabs or Spaces?,Tabs,Spaces
Google or Bing?,Google,Bing
Windows or Linux?,Windows,Linux
Kindle or Physical Book?,Kindle,Physical Book
Watch or Phone for Time?,Watch,Phone
Hoodie or Jacket?,Hoodie,Jacket
Sunglasses or Hat?,Sunglasses,Hat
Silver or Platinum?,Silver,Platinum
Diamonds or Emeralds?,Diamonds,Emeralds
Chess or Poker?,Chess,Poker
Darts or Pool?,Darts,Pool
Skiing or Snowboarding?,Skiing,Snowboarding
Surfing or Kayaking?,Surfing,Kayaking
Running or Cycling?,Running,Cycling
Pillow Fight or Water Fight?,Pillow Fight,Water Fight
Blanket Fort or Tree House?,Blanket Fort,Tree House
Magic or Science?,Magic,Science
Luck or Skill?,Luck,Skill
Love or Money?,Love,Money
Brain or Brawn?,Brain,Brawn
